InstitutionName,State,CurrentAdmissionsTestingPolicy
Touro University,NY,Test Optional
Touro University Worldwide,CA,Test Optional
Towson University,MD,Test Optional
Transylvania University,KY,Test Optional
Trevecca Nazarene University,TN,Test Optional
Tri-State Bible College,OH,Test Optional
Trident University International,--,Test Optional
Trine University,IN,Test Optional
Trine University-Regional/Non-Traditional Campuses,IN,Test Optional
Trinidad State College,CO,Test Optional
Trinity Baptist College,FL,Test Optional
Trinity Christian College,IL,Test Optional
Trinity College,CT,Test Optional
Trinity College of Florida,FL,Test Optional
Trinity International University-Illinois,IL,Test Optional
Trinity Washington University,DC,Test Optional
Trocaire College,NY,Test Optional
Troy University,AL,Test Optional
Truckee Meadows Community College,NV,Test Optional
Turtle Mountain Community College,ND,Test Optional
Tusculum University,TN,Test Optional
Tuskegee University,AL,Test Optional
Tyler Junior College,TX,Test Optional
Union Bible College,IN,Test Optional
Union College,KY,Test Optional
Union College,NY,Test Optional
Union College,NE,Test Optional
United International College,FL,Test Optional
United States Coast Guard Academy,CT,Test Optional
United States Sports Academy,--,Test Optional
United States University,CA,Test Optional
United Talmudical Seminary,NY,Test Optional
United Tribes Technical College,ND,Test Optional
Unitek College,CA,Test Optional
Unity Environmental University,ME,Test Optional
Universal Technology College of Puerto Rico,PR,Test Optional
Universidad Adventista de las Antillas,PR,Test Optional
Universidad Ana G. Mendez-Cupey Campus,PR,Test Optional
Universidad Ana G. Mendez-Gurabo Campus,PR,Test Optional
Universidad Ana G. Mendez–Carolina campus,PR,Test Optional
Universidad Central de Bayamon,PR,Test Optional
Universidad del Sagrado Corazon,PR,Test Optional
University at Buffalo,NY,Test Optional
University of Advancing Technology,AZ,Test Optional
University of Akron Main Campus,OH,Test Optional
University of Alaska Anchorage,AK,Test Optional
University of Alaska Fairbanks,AK,Test Free
University of Alaska Southeast,AK,Test Optional
University of Arizona,AZ,Test Optional
University of Arkansas at Little Rock,AR,Test Optional
University of Arkansas at Monticello,AR,Test Optional
University of Arkansas for Medical Sciences,AR,Test Optional
University of Arkansas-Fort Smith,AR,Test Optional
University of Baltimore,MD,Test Optional
University of Bridgeport,CT,Test Optional
University of California-Berkeley,CA,Test Free
University of California-Davis,CA,Test Free
University of California-Irvine,CA,Test Free
University of California-Los Angeles,CA,Test Free
University of California-Merced,CA,Test Free
University of California-Riverside,CA,Test Free
University of California-San Diego,CA,Test Free
University of California-Santa Barbara,CA,Test Free
University of California-Santa Cruz,CA,Test Free
University of Central Missouri,MO,Test Optional
University of Central Oklahoma,OK,Test Optional
University of Charleston,WV,Test Free
University of Chicago,IL,Test Optional
University of Cincinnati-Blue Ash College,OH,Test Optional
University of Cincinnati-Clermont College,OH,Test Optional
University of Colorado Boulder,CO,Test Optional
University of Colorado Colorado Springs,CO,Test Optional
University of Colorado Denver/Anschutz Medical Campus,CO,Test Optional
University of Dayton,OH,Test Optional
University of Denver,CO,Test Optional
University of Detroit Mercy,MI,Test Optional
University of Dubuque,IA,Test Optional
University of Evansville,IN,Test Optional
University of Fort Lauderdale,FL,Test Optional
University of Guam,GU,Test Optional
University of Hartford,CT,Test Optional
University of Hawaii at Hilo,HI,Test Optional
University of Hawaii at Manoa,HI,Test Optional
University of Hawaii Maui College,HI,Test Optional
University of Hawaii-West Oahu,HI,Test Optional
University of Holy Cross,LA,Test Optional
University of Houston,TX,Test Optional
University of Illinois Chicago,IL,Test Optional
University of Illinois Springfield,IL,Test Optional
University of Illinois Urbana-Champaign,IL,Test Optional
University of Indianapolis,IN,Test Optional
University of Iowa,IA,Test Optional
University of Jamestown,ND,Test Optional
University of Kansas,KS,Test Optional
University of La Verne,CA,Test Optional
University of Louisiana at Lafayette,LA,Test Optional
University of Louisiana at Monroe,LA,Test Optional
University of Louisville,KY,Test Optional
University of Lynchburg,VA,Test Free
University of Maine,ME,Test Optional
University of Maine at Augusta,ME,Test Optional
University of Maine at Farmington,ME,Test Optional
University of Maine at Fort Kent,ME,Test Optional
University of Maine at Machias,ME,Test Optional
University of Maine at Presque Isle,ME,Test Optional
University of Management and Technology,VA,Test Optional
University of Mary,ND,Test Optional
University of Mary Hardin-Baylor,TX,Test Optional
University of Mary Washington,VA,Test Optional
University of Maryland Eastern Shore,MD,Test Optional
University of Maryland Global Campus,MD,Test Optional
University of Massachusetts Global,CA,Test Optional
University of Massachusetts-Amherst,MA,Test Optional
University of Massachusetts-Boston,MA,Test Optional
University of Massachusetts-Dartmouth,MA,Test Optional
University of Massachusetts-Lowell,MA,Test Optional
University of Michigan-Ann Arbor,MI,Test Optional
University of Michigan-Flint,MI,Test Optional
"University of Minnesota-Crookston
",MN,Test Free
University of Minnesota-Duluth,MN,Test Optional
University of Missouri-Kansas City,MO,Test Optional
University of Mobile,AL,Test Optional
University of Montevallo,AL,Test Optional
University of Mount Olive,NC,Test Optional
University of Mount Union,OH,Test Optional
University of Nebraska at Kearney,NE,Test Optional
University of Nebraska at Omaha,NE,Test Optional
University of Nebraska-Lincoln,NE,Test Optional
University of Nevada-Las Vegas,NV,Test Optional
University of Nevada-Reno,NV,Test Optional
University of New England,ME,Test Free
University of New Hampshire at Manchester,NH,Test Optional
University of New Hampshire-Main Campus,NH,Test Optional
University of New Haven,CT,Test Optional
University of New Mexico-Main Campus,NM,Test Optional
University of New Orleans,LA,Test Optional
University of North Alabama,AL,Test Optional
University of North Dakota,ND,Test Optional
University of North Texas,TX,Test Optional
University of North Texas at Dallas,TX,Test Optional
University of Northern Colorado,CO,Test Optional
University of Northern Iowa,IA,Test Optional
University of Northwestern Ohio,OH,Test Optional
University of Northwestern-St Paul,MN,Test Optional
University of Oregon,OR,Test Optional
University of Phoenix-Arizona,AZ,Test Optional
University of Phoenix-California,CA,Test Optional
University of Phoenix-Hawaii,HI,Test Optional
University of Phoenix-Nevada,NV,Test Optional
University of Phoenix-Texas,TX,Test Optional
University of Pikeville,KY,Test Optional
University of Pittsburgh-Johnstown,PA,Test Optional
University of Providence,MT,Test Optional
University of Puerto Rico-Aguadilla,PR,Test Optional
University of Puerto Rico-Arecibo,PR,Test Optional
University of Puerto Rico-Bayamon,PR,Test Optional
University of Puerto Rico-Carolina,PR,Test Optional
University of Puerto Rico-Cayey,PR,Test Optional
University of Puerto Rico-Humacao,PR,Test Optional
University of Puerto Rico-Mayaguez,PR,Test Optional
University of Puerto Rico-Ponce,PR,Test Optional
University of Puerto Rico-Rio Piedras,PR,Test Optional
University of Puerto Rico-Utuado,PR,Test Optional
University of Puget Sound,WA,Test Optional
University of Redlands,CA,Test Optional
University of Rio Grande,OH,Test Optional
University of Rochester,NY,Test Optional
University of Saint Francis-Fort Wayne,IN,Test Optional
University of Saint Joseph,CT,Test Optional
University of Saint Mary,KS,Test Optional
University of San Francisco,CA,Test Optional
University of Science and Arts of Oklahoma,OK,Test Optional
University of Scranton,PA,Test Optional
University of Silicon Valley,CA,Test Optional
University of Sioux Falls,SD,Test Optional
University of South Carolina Beaufort,SC,Test Optional
University of South Carolina-Upstate,SC,Test Optional
University of South Dakota,SD,Test Optional
University of Southern Indiana,IN,Test Optional
University of Southern Maine,ME,Test Optional
University of Southern Mississippi,MS,Test Optional
University of St Francis,IL,Test Optional
University of St Thomas,MN,Test Optional
University of St Thomas,TX,Test Optional
University of the Cumberlands,KY,Test Optional
University of the District of Columbia,DC,Test Optional
University of the Incarnate Word,TX,Test Optional
University of the Ozarks,AR,Test Optional
University of the Pacific,CA,Test Optional
University of the People,--,Test Optional
University of the Potomac-VA Campus,VA,Test Optional
University of the Potomac-Washington DC Campus,DC,Test Optional
University of the Southwest,NM,Test Optional
University of the Virgin Islands-Albert A. Sheen,VI,Test Optional
"University of the Virgin Islands, St. Thomas",VI,Test Optional
University of the West,CA,Test Optional
University of Toledo,OH,Test Optional
University of Tulsa,OK,Test Optional
University of Utah,UT,Test Optional
University of Valley Forge,PA,Test Optional
University of Virginia's College at Wise,VA,Test Optional
University of Washington-Bothell Campus,WA,Test Optional
University of Washington-Seattle Campus,WA,Test Optional
University of Washington-Tacoma Campus,WA,Test Optional
Upper Iowa University,IA,Test Optional
Ursinus College,PA,Test Optional
Ursuline College,OH,Test Optional
Uta Mesivta of Kiryas Joel,NY,Test Optional
Utah State University,UT,Test Optional
Utah Tech University,UT,Test Optional
Utah Valley University,UT,Test Optional
Utica University,NY,Test Optional
Valencia College,FL,Test Optional
Valley City State University,ND,Test Optional
Valley College-Martinsburg,WV,Test Optional
Valor Christian College,OH,Test Optional
VanderCook College of Music,IL,Test Optional
Vanguard University of Southern California,CA,Test Optional
Vassar College,NY,Test Optional
Vaughn College of Aeronautics and Technology,NY,Test Optional
Veritas Baptist College,--,Test Optional
Vermont Technical College,VT,Test Optional
Villa Maria College,NY,Test Optional
Vincennes University,IN,Test Optional
Virginia Commonwealth University,VA,Test Optional
Virginia State University,VA,Test Optional
Virginia University of Lynchburg,VA,Test Optional
Virginia Wesleyan University,VA,Test Optional
Viterbo University,WI,Test Optional
Voorhees University,SC,Test Optional
Wabash College,IN,Test Optional
Wade College,TX,Test Optional
Wagner College,NY,Test Optional
Wake Forest University,NC,Test Optional
Walden University,--,Test Optional
Waldorf University,IA,Test Optional
Walla Walla Community College,WA,Test Optional
Walla Walla University,WA,Test Optional
Walnut Hill College,PA,Test Optional
Walsh University,OH,Test Optional
Warner Pacific University,OR,Test Optional
Warner University,FL,Test Optional
Warren Wilson College,NC,Test Optional
Wartburg College,IA,Test Optional
Washburn University,KS,Test Optional
Washington & Jefferson College,PA,Test Optional
Washington Adventist University,MD,Test Optional
Washington College,MD,Test Optional
Washington State University,WA,Test Free
Washington State University Everett,WA,Test Free
Washington State University Spokane,WA,Test Free
Washington State University Tri-Cities,WA,Test Free
Washington State University Vancouver,WA,Test Free
Washington University in St Louis,MO,Test Optional
Washington University of Science and Technology,--,Test Optional
Wayland Baptist University,TX,Test Optional
Wayne State College,NE,Test Optional
Waynesburg University,PA,Test Optional
Weatherford College,TX,Test Optional
Webb Institute,NY,Test Optional
Webber International University,FL,Test Optional
Weber State University,UT,Test Optional
Webster University,MO,Test Optional
Welch College,TN,Test Optional
Wentworth Institute of Technology,MA,Test Optional
Wesley Biblical Seminary,MS,Test Optional
Wesleyan College,GA,Test Optional
Wesleyan University,CT,Test Optional
West Coast University-Dallas,TX,Test Optional
West Coast University-Los Angeles,CA,Test Optional
West Coast University-Miami,FL,Test Optional
West Coast University-Ontario,CA,Test Optional
West Coast University-Orange County,CA,Test Optional
West Liberty University,WV,Test Optional
West Los Angeles College,CA,Test Optional
West Texas A & M University,TX,Test Optional
West Virginia State University,WV,Test Optional
West Virginia University,WV,Test Optional
West Virginia University at Parkersburg,WV,Test Optional
West Virginia University Institute of Technology,WV,Test Optional
West Virginia Wesleyan College,WV,Test Optional
Westcliff University,CA,Test Optional
Western Colorado University,CO,Test Optional
Western Connecticut State University,CT,Test Optional
Western Governors University,UT,Test Optional
Western Illinois University,IL,Test Optional
Western Kentucky University,KY,Test Optional
Western Michigan University,MI,Test Optional
Western Nevada College,NV,Test Optional
Western New England University,MA,Test Optional
Western New Mexico University,NM,Test Optional
Western Oregon University,OR,Test Optional
Western Technical College,TX,Test Optional
Western Washington University,WA,Test Optional
Western Wyoming Community College,WY,Test Optional
Westfield State University,MA,Test Optional
Westminster College,UT,Test Optional
Westminster College,MO,Test Optional
Westminster College,PA,Test Optional
Westmont College,CA,Test Optional
Wheaton College,IL,Test Optional
Wheaton College (Massachusetts),MA,Test Optional
Wheeling University,WV,Test Optional
Whitman College,WA,Test Optional
Whittier College,CA,Test Free
Whitworth University,WA,Test Optional
Wichita State University,KS,Test Optional
Widener University,PA,Test Optional
Wiley College,TX,Test Optional
Wilkes University,PA,Test Optional
Willamette University,OR,Test Optional
William & Mary,VA,Test Optional
William Jessup University,CA,Test Optional
William Jewell College,MO,Test Optional
William Paterson University of New Jersey,NJ,Test Optional
William Peace University,NC,Test Optional
William Woods University,MO,Test Optional
Wilmington College,OH,Test Optional
Wilmington University,DE,Test Optional
Wilson College,PA,Test Optional
Wingate University,NC,Test Optional
Winona State University,MN,Test Optional
Winthrop University,SC,Test Optional
Wisconsin Lutheran College,WI,Test Optional
Wittenberg University,OH,Test Optional
Wofford College,SC,Test Optional
Women's Institute of Torah Seminary and College,MD,Test Optional
Woodbury University,CA,Test Optional
Worcester State University,MA,Test Optional
World Mission University,CA,Test Optional
Wright State University-Lake Campus,OH,Test Optional
Wright State University-Main Campus,OH,Test Optional
Xavier University,OH,Test Optional
Xavier University of Louisiana,LA,Test Optional
Yakima Valley College,WA,Test Optional
Yellowstone Christian College,MT,Test Optional
Yeshiva Bais Aharon,NJ,Test Optional
Yeshiva D'monsey Rabbinical College,NY,Test Optional
Yeshiva Derech Chaim,NY,Test Optional
Yeshiva Gedolah Imrei Yosef D'spinka,NY,Test Optional
Yeshiva Karlin Stolin,NY,Test Optional
Yeshiva of Nitra Rabbinical College,NY,Test Optional
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,Test Optional
Yeshiva Shaarei Torah of Rockland,NY,Test Optional
Yeshiva Toras Chaim,NJ,Test Optional
Yeshiva University,NY,Test Optional
Yeshivah Gedolah Rabbinical College,FL,Test Optional
Yeshivath Beth Moshe,PA,Test Optional
Yeshivath Shaar Hatorah,NY,Test Optional
Yeshivath Zichron Moshe,NY,Test Optional
York College of Pennsylvania,PA,Test Optional
York University,NE,Test Optional
Young Harris College,GA,Test Optional
Youngstown State University,OH,Test Optional
Zane State College,OH,Test Optional
Zaytuna College,CA,Test Optional
Abraham Baldwin Agricultural College,GA,Test Optional
Adrian College,MI,Test Optional
Albany State University,GA,Test Optional
Alfred University,NY,Test Optional
Alvernia University,PA,Test Optional
Appalachian State University,NC,Test Optional
Arkansas Tech University,AR,Test Optional
Atlanta Metropolitan State College,GA,Test Optional
Augusta University,GA,Test Optional
Barnard College,NY,Test Optional
Baylor University,TX,Test Optional
Bentley University,MA,Test Optional
Boston College,MA,Test Optional
Boston University,MA,Test Optional
Bowling Green State University-Main Campus,OH,Test Optional
Brigham Young University-Idaho,ID,Test Optional
Bucknell University,PA,Test Optional
Campbell University,NC,Test Optional
Carleton College,MN,Test Optional
Carnegie Mellon University,PA,Test Optional
Cedar Crest College,PA,Test Optional
Claremont McKenna College,CA,Test Optional
Clark Atlanta University,GA,Test Optional
Clayton  State University,GA,Test Optional
Cleveland State University,OH,Test Optional
College of Charleston,SC,Test Optional
College of Coastal Georgia,GA,Test Optional
Colorado Christian University,CO,Test Optional
Columbus State University,GA,Test Optional
Cornell University,NY,Test Optional
Cornerstone University,MI,Test Optional
Covenant College,GA,Test Optional
Dalton State College,GA,Test Optional
Drexel University,PA,Test Optional
Duke University,NC,Test Optional
East Carolina University,NC,Test Optional
East Georgia State College,GA,Test Optional
Eastern Michigan University,MI,Test Optional
Elizabeth City State University,NC,Test Optional
Emory University,GA,Test Optional
Fayetteville State University,NC,Test Optional
Fort Valley State University,GA,Test Optional
Franciscan University of Steubenville,OH,Test Optional
Georgia Gwinnett College,GA,Test Optional
Georgia Highlands College,GA,Test Optional
Georgia Southern University,GA,Test Optional
Georgia Southwestern State University,GA,Test Optional
Gordon State College,GA,Test Optional
Hampden-Sydney College,VA,Test Optional
Harvey Mudd College,CA,Test Optional
Howard University,DC,Test Optional
Indiana University of Pennsylvania-Main Campus,PA,Test Optional
Jewish Theological Seminary of America,NY,Test Optional
John Carroll University,OH,Test Optional
Kennesaw State University,GA,Test Optional
Kenyon College,OH,Test Optional
"Kutztown University of Pennsylvania
",PA,Test Optional
La Salle University,PA,Test Free
Lawrence Technological University,MI,Test Optional
Life University,GA,Test Optional
Lipscomb University,TN,Test Optional
Loyola Marymount University,CA,Test Optional
Massachusetts College of Liberal Arts,MA,Test Free
Massachusetts Maritime Academy,MA,Test Optional
Mercer University,GA,Test Optional
Miami University-Oxford,OH,Test Optional
Middle Georgia State University,GA,Test Optional
Midway University,KY,Test Optional
Misericordia University,PA,Test Free
Missouri University of Science and Technology,MO,Test Optional
Molloy College,NY,Test Optional
Monmouth University,NJ,Test Optional
Morehouse College,GA,Test Optional
New Jersey Institute of Technology,NJ,Test Optional
New Mexico Institute of Mining and Technology,NM,Test Optional
New York University,NY,Test Optional
Norfolk State University,VA,Test Optional
North Carolina A & T State University,NC,Test Optional
North Carolina Central University,NC,Test Optional
North Carolina State University at Raleigh,NC,Test Optional
North Carolina Wesleyan University,NC,Test Free
Northwestern University,IL,Test Optional
Nova Southeastern University,FL,Test Optional
Oakland University,MI,Test Optional
Ohio State University-Main Campus,OH,Test Optional
Oral Roberts University,OK,Test Optional
Pennsylvania State University-Main Campus,PA,Test Optional
Pennsylvania State University-Penn State Abington,PA,Test Optional
Pennsylvania State University-Penn State Altoona,PA,Test Optional
Pennsylvania State University-Penn State Beaver,PA,Test Optional
Pennsylvania State University-Penn State Berks,PA,Test Optional
Pennsylvania State University-Penn State Brandywine,PA,Test Optional
Pennsylvania State University-Penn State DuBois,PA,Test Optional
Pennsylvania State University-Penn State Erie-Behrend College,PA,Test Optional
Pennsylvania State University-Penn State Fayette- Eberly,PA,Test Optional
Pennsylvania State University-Penn State Greater Allegheny,PA,Test Optional
Pennsylvania State University-Penn State Harrisburg,PA,Test Optional
Pennsylvania State University-Penn State Hazleton,PA,Test Optional
Pennsylvania State University-Penn State Lehigh Valley,PA,Test Optional
Pennsylvania State University-Penn State Mont Alto,PA,Test Optional
Pennsylvania State University-Penn State New Kensington,PA,Test Optional
Pennsylvania State University-Penn State Schuylkill,PA,Test Optional
Pennsylvania State University-Penn State Scranton,PA,Test Optional
Pennsylvania State University-Penn State Shenango,PA,Test Optional
Pennsylvania State University-Penn State Wilkes-Barre,PA,Test Optional
Pennsylvania State University-Penn State York,PA,Test Optional
Pennsylvania State University-World Campus,--,Test Optional
Pitzer College,CA,Test Free
Princeton University,NJ,Test Optional
Reed College,OR,Test Free
Rensselaer Polytechnic Institute,NY,Test Optional
Rogers State University,OK,Test Optional
Rose-Hulman Institute of Technology,IN,Test Optional
Rutgers University-Camden,NJ,Test Optional
Rutgers University-New Brunswick,NJ,Test Optional
Saint Norbert College,WI,Test Optional
Samford University,AL,Test Optional
Santa Clara University,CA,Test Optional
Savannah State University,GA,Test Optional
Savannah State University,GA,Test Optional
Schreiner University,TX,Test Optional
South Georgia State College,GA,Test Optional
Spelman College,GA,Test Optional
Stanford University,CA,Test Optional
Stephens College,MO,Test Optional
Stonehill College,MA,Test Free
SUNY at Albany,NY,Test Optional
SUNY College of Agriculture and Technology at Cobleskill,NY,Test Optional
SUNY College of Technology at Canton,NY,Test Optional
SUNY Maritime College,NY,Test Optional
Swarthmore College,PA,Test Optional
Syracuse University,NY,Test Optional
Texas Southern University,TX,Test Optional
Texas Tech University,TX,Test Optional
The Cooper Union for the Advancement of Science and Art,NY,Test Optional
The University of Alabama,AL,Test Optional
The University of Texas Rio Grande Valley,TX,Test Optional
Truett McConnell University,GA,Test Optional
Truman State University,MO,Test Optional
Tulane University of Louisiana,LA,Test Optional
Union University,TN,Test Optional
University of Alabama at Birmingham,AL,Test Optional
University of Alabama in Huntsville,AL,Test Optional
University of Arkansas,AR,Test Optional
University of Cincinnati-Main Campus,OH,Test Optional
University of Delaware,DE,Test Optional
University of Health Sciences and Pharmacy in St. Louis,MO,Test Optional
University of Houston-Clear Lake,TX,Test Optional
University of Houston-Downtown,TX,Test Optional
University of Houston-Victoria,TX,Test Optional
University of Idaho,ID,Test Optional
University of Maryland-Baltimore County,MD,Test Optional
University of Maryland-College Park,MD,Test Optional
University of Miami,FL,Test Optional
University of Minnesota-Morris,MN,Test Optional
University of Minnesota-Rochester,MN,Test Optional
University of Minnesota-Twin Cities,MN,Test Optional
University of Mississippi,MS,Test Optional
University of Missouri-Columbia,MO,Test Optional
University of Missouri-St Louis,MO,Test Optional
University of North Carolina at Asheville,NC,Test Optional
University of North Carolina at Chapel Hill,NC,Test Optional
University of North Carolina at Charlotte,NC,Test Optional
University of North Carolina at Greensboro,NC,Test Optional
University of North Carolina at Pembroke,NC,Test Optional
University of North Carolina School of the Arts,NC,Test Optional
University of North Carolina Wilmington,NC,Test Optional
University of North Georgia,GA,Test Optional
University of Notre Dame,IN,Test Optional
University of Oklahoma-Norman Campus,OK,Test Optional
University of Pennsylvania,PA,Test Optional
University of Pittsburgh-Greensburg,PA,Test Optional
University of Portland,OR,Test Optional
University of Rhode Island,RI,Test Optional
University of Richmond,VA,Test Optional
University of San Diego,CA,Test Free
University of South Alabama,AL,Test Optional
University of South Carolina-Columbia,SC,Test Optional
University of Southern California,CA,Test Optional
University of Virginia-Main Campus,VA,Test Optional
University of West Georgia,GA,Test Optional
University of Wyoming,WY,Test Optional
Valdosta State University,GA,Test Optional
Valparaiso University,IN,Test Optional
Virginia Military Institute,VA,Test Optional
Virginia Polytechnic Institute and State University,VA,Test Optional
Virginia Union University,VA,Test Optional
Washington and Lee University,VA,Test Optional
Wayne State University,MI,Test Optional
Wellesley College,MA,Test Optional
West Chester University of Pennsylvania,PA,Test Optional
Western Carolina University,NC,Test Optional
Williams College,MA,Test Optional
Winston-Salem State University,NC,Test Optional
Brigham Young University,UT,Test Optional
College of Staten Island CUNY,NY,Test Optional
CUNY Bernard M Baruch College,NY,Test Optional
CUNY Brooklyn College,NY,Test Optional
CUNY City College,NY,Test Optional
CUNY Graduate School and University Center,NY,Test Optional
CUNY Hunter College,NY,Test Optional
CUNY John Jay College of Criminal Justice,NY,Test Optional
CUNY Lehman College,NY,Test Optional
CUNY Medgar Evers College,NY,Test Optional
CUNY New York City College of Technology,NY,Test Optional
CUNY Queens College,NY,Test Optional
CUNY York College,NY,Test Optional
Franklin W Olin College of Engineering,MA,Test Optional
Grinnell College,IA,Test Optional
Johns Hopkins University,MD,Test Optional
Middlebury College,VT,Test Optional
Northeastern University,MA,Test Optional
Oberlin College,OH,Test Optional
Seton Hall University,NJ,Test Optional
Stevens Institute of Technology,NJ,Test Optional
Texas Christian University,TX,Test Optional
The College of New Jersey,NJ,Test Optional
Trinity University,TX,Test Optional
Tufts University,MA,Test Optional
University of Central Arkansas,AR,Test Optional
University of Connecticut,CT,Test Optional
University of Connecticut-Avery Point,CT,Test Optional
University of Connecticut-Hartford Campus,CT,Test Optional
University of Connecticut-Stamford,CT,Test Optional
University of Connecticut-Waterbury Campus,CT,Test Optional
University of Michigan-Dearborn,MI,Test Optional
University of Vermont,VT,Test Optional
University of Wisconsin - Madison,WI,Test Optional
University of Wisconsin-Eau Claire,WI,Test Optional
University of Wisconsin-Green Bay,WI,Test Optional
University of Wisconsin-La Crosse,WI,Test Optional
University of Wisconsin-Milwaukee,WI,Test Optional
University of Wisconsin-Oshkosh,WI,Test Optional
University of Wisconsin-Parkside,WI,Test Optional
University of Wisconsin-River Falls,WI,Test Optional
University of Wisconsin-Stevens Point,WI,Test Optional
University of Wisconsin-Stout,WI,Test Optional
University of Wisconsin-Superior,WI,Test Optional
University of Wisconsin-Whitewater,WI,Test Optional
Villanova University,PA,Test Optional
Colgate University,NY,Test Optional
Vanderbilt University,TN,Test Optional
Adelphi University,NY,Test Optional
University of Kentucky,KY,Test Optional
University of Pittsburgh-Pittsburgh Campus,PA,Test Optional
Lafayette College,PA,Test Optional
Worcester Polytechnic Institute,MA,Test Free
