state_abbrev,cities,population,crime_rate_per_100k
IL,Palatine,68890,236.02845115401365
CA,Palo Alto,66019,1103.6216846665354
OH,Parma,80963,1546.8794387559751
WA,Pasco,63806,2394.915838635865
NJ,Passaic,70237,3287.725842504662
RI,Pawtucket,71085,3229.51396215798
TX,Pearland,94702,675.8041012861397
CA,Perris,70616,2893.820097428345
TX,Pharr,73599,2281.824481310887
CA,Pico Rivera,63988,3026.192411077077
CA,Pittsburg,64890,2009.0923100631837
FL,Plantation,87705,1881.1926343994073
CA,Pleasanton,71875,739.6173913043478
MN,Plymouth,72020,620.6609275201332
ME,Portland,66413,1902.3383976028788
VA,Portsmouth,96739,1210.6802840633043
MA,Quincy,93736,1608.2401638644703
WI,Racine,79055,1404.8447283536777
NY,Ramapo Town,85448,2180.390412882689
CA,Rancho Cordova,66214,3487.3289636632735
SD,Rapid City,69979,3412.166507094986
PA,Reading,88557,2795.1488871574243
CA,Redding,90974,2310.110581045134
CA,Redlands,70399,2925.467691302433
CA,Redondo Beach,67856,1635.374911577458
CA,Redwood City,78466,1778.7321897382305
WA,Renton,93722,2367.960564221848
NM,Rio Rancho,89462,1153.3388477789451
VA,Roanoke,97780,2376.252812436081
SC,Rock Hill,68064,3153.649506346968
GA,Roswell,92141,891.676886510891
CA,San Clemente,65089,2334.3422083608593
CA,San Leandro,86869,3134.1445164558136
CA,San Marcos,85810,1424.5425941032515
CA,San Mateo,99303,963.4150025678982
CA,San Ramon,74013,1716.1849945279885
GA,Sandy Springs,97890,1307.5901522116662
UT,Sandy,90405,1087.6610806924398
CA,Santa Barbara,89871,1754.4035339542231
CA,Santa Cruz,60902,4467.340974023841
NM,Santa Fe,68751,1768.5560937295456
CA,Santa Monica,91215,1867.5656416159622
IL,Schaumburg,74585,713.5483005966348
NY,Schenectady,66631,3139.8298089477867
PA,Scranton,76118,2176.489135289945
KS,Shawnee,63542,1141.9218784426046
MI,Shelby Township,73960,692.9421308815577
IA,Sioux City,83289,1979.1328987021097
IL,Skokie,65096,1446.4790463315721
MA,Somerville,77200,1701.2953367875648
CA,South Gate,95966,2642.810995560928
CA,South San Francisco,65006,1801.0645171214965
MI,Southfield,72253,3300.485792977454
NV,Sparks,92387,1543.0742420470415
WA,Spokane Valley,91164,2061.230310210171
AR,Springdale,71668,2466.7913155104093
